"bommie","bommie_SA_cm","NN","NN_SA_cm","SA_difference","distance_cm","BC"
"Y3",25129.48518,"Y4",6213.397694,18916.08749,5,0.677621883
"Y5",3000.68025,"Y6",5262.651686,2261.971436,23,0.549703453
"Y7",5699.996385,"Y8",10128.23634,4428.239958,5,0.500899992
"Y9",49959.70504,"Y10",5709.364896,44250.34014,30,0.71325582
"WT1",26479.13133,"WT2",13000.18551,13478.94582,90,0.520118256
"WT3",20910.6326,"WT4",14235.69479,6674.937806,27,0.455251681
"WT5",23941.74515,"WT6",15639.79044,8301.954706,41,0.425057668
"WT7",25811.69041,"WT8",3306.921855,22504.76856,37,0.615415801
"WT9",23376.875,"WT10",8026.06885,15350.80615,19,0.679035053
"Y11",16827.84377,"Y12",6510.9987,10316.84507,6,0.688218808
"WT11",13025.69451,"WT12",8638.991102,4386.703409,144,0.541290663
"WT13",49377.7579,"WT14",18154.28354,31223.47436,68,0.55609014
"Y15",43568.19133,"Y16",18953.45185,24614.73947,41,0.419238458
"WT15",19367.03081,"WT16",25235.80986,5868.779047,65,0.337874541
"WT17",16423.25482,"WT18",9084.361176,7338.893644,12,0.467735993
"Y17",20489.76151,"Y18",18011.18142,2478.580086,52,0.413186984
"Y19",29191.58257,"Y20",18979.46055,10212.12202,10,0.337074905
