"date","ID","site","coral","algae","bare_CCA","turf_PAC","sand","other"
"July 23, 2023","WT1","West Tektite",0,0,0,88,0,12
"July 28, 2023","WT10","West Tektite",0,36,20,28,4,12
"August 4, 2023","WT11","West Tektite",0,76,8,8,0,8
"August 4, 2023","WT12","West Tektite",0,48,20,20,8,4
"August 4, 2023","WT13","West Tektite",8,52,0,36,0,4
"August 4, 2023","WT14","West Tektite",28,32,0,16,0,24
"August 8, 2023","WT15","West Tektite",4,24,0,48,4,20
"August 8, 2023","WT16","West Tektite",20,64,0,8,4,4
"August 8, 2023","WT17","West Tektite",4,44,0,32,12,8
"August 8, 2023","WT18","West Tektite",40,8,0,36,16,0
"July 23, 2023","WT2","West Tektite",0,52,16,20,8,4
"July 26, 2023","WT3","West Tektite",0,20,16,28,0,36
"July 26, 2023","WT4","West Tektite",8,16,0,56,12,8
"July 26, 2023","WT5","West Tektite",12,52,8,24,0,4
"July 28, 2023","WT6","West Tektite",4,36,0,48,8,4
"July 28, 2023","WT7","West Tektite",0,28,0,60,0,12
"July 28, 2023","WT8","West Tektite",0,12,0,20,68,0
"July 28, 2023","WT9","West Tektite",8,28,0,48,4,12
"July 28, 2023","Y11","Yawzi",24,20,12,40,0,4
"July 28, 2023","Y12","Yawzi",4,24,0,28,40,4
"July 29, 2023","Y13","Yawzi",0,76,0,16,0,8
"July 29, 2023","Y14","Yawzi",0,32,0,20,28,20
"August 7, 2023","Y15","Yawzi",8,48,0,44,0,0
"August 7, 2023","Y16","Yawzi",0,72,0,24,0,4
"August 9, 2023","Y17","Yawzi",8,68,8,4,0,12
"August 9, 2023","Y18","Yawzi",16,60,0,0,16,8
"August 9, 2023","Y19","Yawzi",0,88,0,4,0,8
"August 9, 2023","Y20","Yawzi",12,80,0,8,0,0
"July 24, 2023","Y3","Yawzi",16,56,8,0,16,4
"July 25, 2023","Y4","Yawzi",0,36,0,20,40,4
"July 25, 2023","Y5","Yawzi",28,8,0,36,24,4
"July 25, 2023","Y6","Yawzi",4,40,4,8,28,16
"July 25, 2023","Y7","Yawzi",4,28,0,32,32,4
"July 25, 2023","Y8","Yawzi",0,72,4,8,12,4
"July 25, 2023","Y9","Yawzi",12,36,8,16,0,28
